SubjNum	 run	 trial	 objnum	 file	 orientnam	 orientnum	 resp	 respnum	 acc	 rt
100	 4	 209	 19	 object_4.jpg	 cor	 1	 c	 1	 1	 0.628437
100	 4	 210	 21	 object_25.jpg	 cor	 1	 c	 1	 1	 0.587703
100	 4	 211	 19	 object_4.jpg	 rot	 0	 n	 2	 1	 0.687409
100	 4	 212	 2	 object_23.jpg	 cor	 1	 c	 1	 1	 0.610445
100	 4	 213	 18	 object_10.jpg	 cor	 1	 c	 1	 1	 0.890198
100	 4	 214	 17	 object_34.jpg	 cor	 1	 c	 1	 1	 0.884081
100	 4	 215	 15	 object_9.jpg	 cor	 1	 c	 1	 1	 0.665638
100	 4	 216	 11	 object_3.jpg	 cor	 1	 c	 1	 1	 0.525677
100	 4	 217	 14	 object_13.jpg	 cor	 1	 c	 1	 1	 0.618906
100	 4	 218	 13	 object_1.jpg	 cor	 1	 c	 1	 1	 0.574371
100	 4	 219	 14	 object_13.jpg	 rot	 0	 c	 1	 0	 0.602383
100	 4	 220	 15	 object_9.jpg	 cor	 1	 c	 1	 1	 0.556401
100	 4	 221	 12	 object_36.jpg	 cor	 1	 c	 1	 1	 0.634022
100	 4	 222	 11	 object_3.jpg	 cor	 1	 c	 1	 1	 0.632245
100	 4	 223	 12	 object_36.jpg	 rot	 0	 n	 2	 1	 0.786026
100	 4	 224	 17	 object_34.jpg	 cor	 1	 c	 1	 1	 0.639591
100	 4	 225	 12	 object_36.jpg	 rot	 0	 n	 2	 1	 0.672242
100	 4	 226	 17	 object_34.jpg	 rot	 0	 n	 2	 1	 1.266489
100	 4	 227	 16	 object_28.jpg	 cor	 1	 c	 1	 1	 0.818232
100	 4	 228	 15	 object_9.jpg	 cor	 1	 c	 1	 1	 0.591178
100	 4	 229	 16	 object_28.jpg	 rot	 0	 n	 2	 1	 0.787574
100	 4	 230	 13	 object_1.jpg	 cor	 1	 c	 1	 1	 0.769537
100	 4	 231	 11	 object_3.jpg	 cor	 1	 c	 1	 1	 0.753960
100	 4	 232	 14	 object_13.jpg	 cor	 1	 c	 1	 1	 0.704701
100	 4	 233	 12	 object_36.jpg	 cor	 1	 c	 1	 1	 0.650636
100	 4	 234	 16	 object_28.jpg	 cor	 1	 c	 1	 1	 0.619963
100	 4	 235	 12	 object_36.jpg	 rot	 0	 n	 2	 1	 0.701184
100	 4	 236	 16	 object_28.jpg	 rot	 0	 n	 2	 1	 0.675103
100	 4	 237	 15	 object_9.jpg	 cor	 1	 c	 1	 1	 0.574370
100	 4	 238	 13	 object_1.jpg	 cor	 1	 c	 1	 1	 0.592464
100	 4	 239	 14	 object_13.jpg	 cor	 1	 c	 1	 1	 0.905757
100	 4	 240	 11	 object_3.jpg	 cor	 1	 c	 1	 1	 0.587076
100	 4	 241	 13	 object_1.jpg	 cor	 1	 c	 1	 1	 0.549788
100	 4	 242	 14	 object_13.jpg	 cor	 1	 c	 1	 1	 0.640688
100	 4	 243	 12	 object_36.jpg	 cor	 1	 c	 1	 1	 0.667286
100	 4	 244	 16	 object_28.jpg	 cor	 1	 c	 1	 1	 0.631184
